Tweets,Tweet Classification
 12 32am photos rehabilitation work on dopemu road agege and work done today by okeho road junction and in front of temidire dopemu market ,1
 12 39am 2 storey renovated building at idi oro mushin title document deed of conveyance dm for more details ,0
 12 15am pipeline is burning here at agbado oke odo ile epo side,1
 12 15am 11 21pm see victims of abule egba a lady and her child died while trying to save the little kid ,1
 11 48pm ma i have family living at abule egba and i am concerned about their safety please let s be cautious about how to create awareness online i know you mean well but exaggeration do us all no good ,0
 11 55pm you are not near abule egba or oke odo ,0
 11 57pm my prayers and thoughts are with the people of abule egba god be with you all,0
 11 57pm watch the moment another pipeline explosion hits abule egba of alimosho in lagos full video clips click on the link below to watch the full video,1
 11 58pm watch the moment another pipeline explosion hits abule egba of alimosho in lagos full video clips click on the link below to watch the full video,1
 11 30pm fire has been doused but the damage has already been done thank god for life abule egba 19 1 2020,0
 11 44pm but they can write abule egba is on fire and u would be fine abi ok the whole abule egba is not on fire can we rest now ,0
 11 21pm see victims of abule egba ,0
 11 23pm come to abule egba now,0
 11 01pm this abule egba own is just too much,0
 11 08pm someone that is mad my brother s school has burnt my family has left home the fire started behind our house not up to 1km coming to say not the whole of abule egba as if he has done anything positive,0
 11 10pm leave them they just want to talk if fire from abule egba has reached ile epo then its really getting worse that means it has even passed super,0
 11 13pm has your mum burnt cos i assume she s in abule egba also or is she on a helicopter making this long distance phone call to you ,0
 10 56pm somebody wey no know where abule egba dey all for the gram,0
 10 22pm just one fire fighter vehicle lots of properties damage m so scared had to walk my colleague down there from work about leaving to my place satu at iyana ipaja ,1
 10 23pm if you at iyana ipaja under bridge u can see the fire from there its that big,1
 10 23pm just in pipeline explosion rocks abule egba download now,1
 10 26pm i took this from iyana ipaja,0
 10 29pm pictures from iyana ipaja it s horrible,1
 10 09pm just in fire fighters are trying to get their way in but it has not been easy because of the bad road the incident happened close to the popular ago adura church in abule egba cc ,0
 9 47pm pipeline explosion at abule egba responders should please do a proper job of crowd control ,1
 9 53pm this is unconfirmed the reported abule egba pipeline fire is actually the nnpc filling station on ekoro road on fire apparently a vehicle collided with the fuel pump and caused the inferno ,1
 9 56pm happening now at abule egba pipeline bursted and everyone is running for their lives please call your loved ones _news,1
