0,1,2,3,4,5,6,7,8,9,10,11
2020-01-19 23:45:10,TrafficChiefNG,,1,2,6,,@eniola_opeyemi,#TrafficChief,1219043149282041856,https://twitter.com/TrafficChiefNG/status/1219043149282041856,"[12:32AM] : PHOTOS: Rehabilitation work on Dopemu Road, Agege and work done today by Okeho road junction and in front of Temidire Dopemu market."
2020-01-19 23:45:08,TrafficChiefNG,,0,0,1,,@bait4love @kunlegzyNew2013,#TrafficChief,1219043143024181248,https://twitter.com/TrafficChiefNG/status/1219043143024181248,[12:39AM] : 2 storey renovated building at idi-oro mushin. Title document: Deed of Conveyance: DM: for more details.
2020-01-19 23:30:11,TrafficChiefNG,,1,3,3,,@kikigist,#GIDITRAFFIC #TrafficChief,1219039378514665473,https://twitter.com/TrafficChiefNG/status/1219039378514665473,[12:15AM] : ?? ? ??? pipeline is burning here at Agbado Oke Odo ile epo side
2020-01-19 23:30:09,TrafficChiefNG,,1,5,6,,@BlaqBoi_Phillz @AmeboOnlineTv1 @lagostraffic961 @TrafficChiefNG @vanguardngrnews,#PipelineFire #TrafficChief,1219039370008649728,https://twitter.com/TrafficChiefNG/status/1219039370008649728,[12:15AM] : [11:21PM] : See victims of Abule egba ? A lady and her child died while trying to save the little kid???
2020-01-19 23:00:14,TrafficChiefNG,,0,0,1,,@zantoto @TemiTells @TheLyrikallz @daemperor007,#TrafficChief,1219031843053260801,https://twitter.com/TrafficChiefNG/status/1219031843053260801,"[11:48PM] : Ma, I have family living at Abule Egba and I am concerned about their safety, please let's be cautious about how to create awareness online, i know you mean well but exaggeration do us all no good."
2020-01-19 23:00:12,TrafficChiefNG,,0,3,3,,@larucheebam @mbaisepikin @MBuhari @LAG_FireService @fedfirelagos @ProfOsinbajo @iStarBROPE,#TrafficChief,1219031834668830720,https://twitter.com/TrafficChiefNG/status/1219031834668830720,[11:55PM] : You are not near Abule egba or Oke Odo.
2020-01-19 23:00:11,TrafficChiefNG,,0,2,1,,@DutchessAonani,#giditraffic #TrafficChief,1219031832278126594,https://twitter.com/TrafficChiefNG/status/1219031832278126594,[11:57PM] : My prayers and thoughts are with the people of Abule Egba.. God be with you all
2020-01-19 23:00:11,TrafficChiefNG,,1,0,2,,@StreetzOnTv @Joelmbadiwe @channelstv @NigeriainfoFM @LASGWorks @COS_LASG,#TrafficChief,1219031828536807425,https://twitter.com/TrafficChiefNG/status/1219031828536807425,[11:57PM] : Watch The Moment Another Pipeline Explosion Hits Abule Egba Of Alimosho In Lagos (FULL VIDEO CLIPS) Click on the link below to watch the full video
2020-01-19 23:00:10,TrafficChiefNG,,0,0,1,,@MzKingOfQueens @Hasshabie,#TrafficChief,1219031824514420736,https://twitter.com/TrafficChiefNG/status/1219031824514420736,[11:58PM] : Watch The Moment Another Pipeline Explosion Hits Abule Egba Of Alimosho In Lagos (FULL VIDEO CLIPS) Click on the link below to watch the full video
2020-01-19 22:45:09,TrafficChiefNG,,0,11,9,,@checkmatecastle @followlasg @LASGWorks @jidesanwoolu @TrendsLagos @TrafficChiefNG,#TrafficChief,1219028048080621568,https://twitter.com/TrafficChiefNG/status/1219028048080621568,[11:30PM] : Fire has been doused but the damage has already been done. Thank God for life! Abule Egba 19-1-2020
2020-01-19 22:45:09,TrafficChiefNG,,0,1,4,,@olori_Abeke @TosinTosade @TemiTells @ambode44,#TrafficChief,1219028045752762369,https://twitter.com/TrafficChiefNG/status/1219028045752762369,"[11:44PM] : but they can write abule egba is on fire and u would be fine abi..Ok the whole abule egba is not on fire,can we rest now?"
2020-01-19 22:30:10,TrafficChiefNG,,1,2,5,,@AmeboOnlineTv1 @lagostraffic961 @TrafficChiefNG @vanguardngrnews,#PipelineFire #TrafficChief,1219024277476802560,https://twitter.com/TrafficChiefNG/status/1219024277476802560,[11:21PM] : See victims of Abule egba ?
2020-01-19 22:30:10,TrafficChiefNG,,0,3,3,,@mbaisepikin @prince_kay1 @TrafficChiefNG @MBuhari @LAG_FireService @fedfirelagos @ProfOsinbajo @iStarBROPE,#TrafficChief,1219024275169894400,https://twitter.com/TrafficChiefNG/status/1219024275169894400,[11:23PM] : Come to Abule egba now
2020-01-19 22:15:14,TrafficChiefNG,,0,1,2,,@seun_ade24 @OlotuEmmanuel @TrafficChiefNG @Fedfireng,#TrafficChief,1219020518654799872,https://twitter.com/TrafficChiefNG/status/1219020518654799872,[11:01PM] : This Abule egba own is just too much
