0,1,2,3,4,5,6,7,8,9,10,11
2020-01-18 07:23:09,followlastma,,1,6,5,,@TrafficChiefNG @Gidi_Traffic @trafficbutterpic,#OjotaInterchange #lastmareports,1218433631305203712,https://twitter.com/followlastma/status/1218433631305203712,[7.55am] A truck loaded with plywood tilted and spilling some of the products on the road ascending the Interchange towards Tollgate. One lane still moving while efforts being made for evacuation.
2020-01-17 16:44:52,followlastma,,0,1,0,,,,1218212604319059969,https://twitter.com/followlastma/status/1218212604319059969,"As motorists leave the Market and ascend the Eko Bridge, traffic is Gd to approaching the Costain Ramp where it gets a bit slow, then better to Costain R/About."
2020-01-17 16:44:50,followlastma,,1,2,3,,,#VI #EkoBridge,1218212592843460608,https://twitter.com/followlastma/status/1218212592843460608,"[5:43PM] Law School INW Ozumba Mbadiwe is Gd up to Radisson Blu where it gets slow all the way to Bony Camp INW the Mc Wen Bridge. From McWen Bridge, traffic is Gd to CMS Ramp in the Bridge, then it gets slow from there all the way to Apongbon INW the Market."
2020-01-17 16:24:18,followlastma,,0,1,1,,,#Ifako,1218207425465143296,https://twitter.com/followlastma/status/1218207425465143296,".... Leaving Oworo, traffic is steady INW Ifake, Ogudu and then better to Alapere, Apostolic and Ojota Bridge."
2020-01-17 16:24:17,followlastma,,1,2,3,,,#Ikoyi #3MB,1218207423258931204,https://twitter.com/followlastma/status/1218207423258931204,"Leaving Bayo Kuku to Osborne is slow all the way thru Osborne to Ilubirin, then better traffic INW Adeniji, Adekunle and Unilag Water-Front as well as Oworo. ..."
2020-01-17 16:18:38,followlastma,,0,0,1,,,#Osborne #Ikoyi #PatienceisKey,1218206000492220416,https://twitter.com/followlastma/status/1218206000492220416,"[5:15PM] A broken down LT Bus on Osborne INW Simpson, with the backlog of traffic as far back as Alfred Rewane and Obalende respectively. Effort is on to get it off the road."
2020-01-17 09:40:41,followlastma,,0,0,1,,,#PatienceisKey #ThankULagos,1218105854999846912,https://twitter.com/followlastma/status/1218105854999846912,We implore all motorists plying that axis to adhere to traffic instructions from our officers to allow for a smooth journey thru.
2020-01-17 09:40:40,followlastma,,2,7,10,,@followlastma,#ImpendigDanger #RoadHazard,1218105851354984449,https://twitter.com/followlastma/status/1218105851354984449,"[10:05AM] A container laden truck having spring problem at Oloosha inward Oshodi causing some traffic ATM, on ground to manage traffic situation even as effort is on to fix it."
2020-01-17 09:35:45,followlastma,,0,0,1,,,#ThankULagos,1218104612512763910,https://twitter.com/followlastma/status/1218104612512763910,We implore motorists coming from Obanikoro going thru Fadeyi to Ojuelegba or Jibowu to resist the temptation of stopping to look or take pictures to avoid causing another slow movement.
2020-01-17 09:33:02,followlastma,,1,1,1,,,#PatienceisKey,1218103930384719875,https://twitter.com/followlastma/status/1218103930384719875,... Effort is on to recover the content and truck.
2020-01-17 09:33:00,followlastma,,3,6,7,,@Fadeyi @Stadium,#Accident #IkoroduRd #Fadeyi,1218103920234565633,https://twitter.com/followlastma/status/1218103920234565633,". In a lone Accident, a wheat Laden Truck spilled its content on the road INW Onipan. Traffic backlog now and spilling. Alternative Route: Service Lane from Ojuelegba, Or, Yaba-Moroco Rd-Onipan."
2020-01-16 12:22:14,followlastma,,0,3,10,,@TrafficChiefNG @Gidi_Trafficpic,,1217784121419804672,https://twitter.com/followlastma/status/1217784121419804672,A broken down loaded Sewage Tanker on Falomo Bridge inward Akin Adeshola with mechanical fault backlog has extended to the stretch of Alfred Rewane
2020-01-15 17:25:46,followlastma,,0,1,1,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217498119073685504,https://twitter.com/followlastma/status/1217498119073685504,"RJ from Ilubirin, Dolphin inw Osborne is good but slight delay approaching Osborne intersection due to alternation. Falomo r/a inw AwolowoRd is busy due to commercial activities around the corridor."
2020-01-15 17:25:45,followlastma,,1,1,2,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,#Ikoyi #Obalende,1217498117018390534,https://twitter.com/followlastma/status/1217498117018390534,[6.16pm] Good movement from FalomoBridge connecting AlfredRewane but heavy from GoldenGate intersection to Osborne through to Ilubirin due to high traffic influx.
2020-01-15 17:21:17,followlastma,,0,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217496990919155713,https://twitter.com/followlastma/status/1217496990919155713,Moving to IyanaIsolo is gathering momentum. Proceeding to FiveStar is ok but approaching Toyota is gathering momentum. The rest of the journey to Gbagada is good.
2020-01-15 17:21:16,followlastma,,1,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961,,1217496988394098693,https://twitter.com/followlastma/status/1217496988394098693,"Proceeding to OshodiOke, Boladale, Charity, Toyota is good. Movement inw FiveStar, IyanaIsolo, Ilasa, Ballet is ok but approaching Cele is slightly busy. RJ Cele to Ballet, Ilasa is a slow moving traffic."
2020-01-15 17:21:15,followlastma,,1,1,1,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,#OshodiApapaExp #PMTrafficUpdates,1217496984380235783,https://twitter.com/followlastma/status/1217496984380235783,"[5.54pm] Gbagada to FirstPedro is busy. Moving to 2ndPedro, WestEnd, AnthonyOke is ok. Descending towards Barracks and LASTMA Office is a slow moving traffic."
2020-01-15 17:01:00,followlastma,,0,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217491886174343170,https://twitter.com/followlastma/status/1217491886174343170,Acme inw Wemco is ok but busy on the RJ. Wemco inw Omole is good but busy on the RJ. Allen r/a inw Aromire is busy.
2020-01-15 17:00:59,followlastma,,1,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217491882978267136,https://twitter.com/followlastma/status/1217491882978267136,"Barracks inw Coca-Cola is busy. Coca-Cola inw Radio is busy in/Out. Coca-Cola inw Agidingbi, Mobil is good. Mobil inw Cadbury is busy. Cadbury inw Acme is Busy."
2020-01-15 17:00:58,followlastma,,1,4,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,#Ikeja #PMTrafficUpdates,1217491880298131456,https://twitter.com/followlastma/status/1217491880298131456,"[5.40pm] Otedola UBridge inw NurudeenOlowopo, Barracks, Ministry of Environment is good. Alausa intersection inw MobolajiJohnson enroute Billingsway jxn, 7up is OK."
2020-01-15 16:54:27,followlastma,,0,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217490237687062528,https://twitter.com/followlastma/status/1217490237687062528,GeneralHospital UBridge inw LocalAirport is good but slow on the RJ. ObaAkinjobi in/out is good. Ikeja UBridge inw ObaAkran is a slow moving traffic. Ladipo inw PWD is good.
2020-01-15 16:54:26,followlastma,,1,1,2,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,#Maryland #PMTrafficUpdates,1217490234809647104,https://twitter.com/followlastma/status/1217490234809647104,[5.35pm] Anthony inw Maryland is building up. Maryland inw GeneralHospital UBridge is a slow moving traffic on the RJ is good.
2020-01-15 16:45:05,followlastma,,0,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217487882937565185,https://twitter.com/followlastma/status/1217487882937565185,Ogolonto inw Agric to Aruna is good. Slow approaching Benson to Ikorodu r/a.
2020-01-15 16:45:04,followlastma,,1,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217487877438869504,https://twitter.com/followlastma/status/1217487877438869504,Movement inw OwodeOnirin is ok but slow approaching the b/stop. Movement inw Odogun down to Majidun is very good. Majidun to Ogolonto is slow due to traffic alternation.
2020-01-15 16:45:03,followlastma,,1,2,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217487872334475267,https://twitter.com/followlastma/status/1217487872334475267,"Interchange inw Tollgate is good. Interchange inw Tipper to Demurin is busy. Movement inw Kosofe to Mile12 is good. Steady approaching Adekunle, slow to OwodeElede."
2020-01-15 16:37:07,followlastma,sophistreetcate,0,0,2,,,,1217485874822291456,https://twitter.com/followlastma/status/1217485874822291456,
2020-01-15 16:29:01,followlastma,,1,1,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217483836931682304,https://twitter.com/followlastma/status/1217483836931682304,"A bit slow at Barracks, steady to Ojuelegba, good inw DormanLong to Fadeyi. Fadeyi inw Anthony to Channels intersection is very good. Very busy approaching Odoyalaro bridge to Ojota Interchange."
2020-01-15 16:29:00,followlastma,,1,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217483834213703682,https://twitter.com/followlastma/status/1217483834213703682,RJ from Masha through Shitta to Stadium UBridge is good but slow approaching the alternation point. Alaka inw StadiumBridge to Barracks is good.
2020-01-15 16:28:58,followlastma,,1,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217483827485999104,https://twitter.com/followlastma/status/1217483827485999104,"Movement on EkoBridge inw Alaka main carriageway is good. Alaka service lane inw Stadium UBridge is ok, though slow at the alternation point. Movement inw Shitta, Masha axus is ok."
2020-01-15 16:28:58,followlastma,,1,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217483824772341760,https://twitter.com/followlastma/status/1217483824772341760,Movement inw IjoraOlopa to EkoBridge is good. Descending to Costain r/a is slow due ti traffic alternation. Movement inw Iponri to Alaka service lane is good.
2020-01-15 16:28:57,followlastma,,1,0,0,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,,1217483821924409345,https://twitter.com/followlastma/status/1217483821924409345,"Steady at the r/a, slow through Apongbon service lane to OfinCanal. Slow along BroadStr from Davies jxn to Apongbon service lane. Apongbon Bridge inw OfinCanal is busy."
2020-01-15 16:28:56,followlastma,,1,0,1,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevision,#IkoroduRd #PMTrafficUpdates,1217483819386916864,https://twitter.com/followlastma/status/1217483819386916864,[5.24pm] Movement from InnerMarina through StateHouse to CMS is ok. CMS inw Apongbon Bridge is good. CMS inw UBA r/a is good.
2020-01-15 13:47:49,followlastma,,0,10,7,,@TrafficChiefNG @Gidi_Traffic @trafficbutter @lagostraffic961 @lagostelevisionpic,#Anthony #lastmareports,1217443269904302080,https://twitter.com/followlastma/status/1217443269904302080,[2.38pm] An accident involving a trailer laden with container at VIS ascending Anthony inw Oshodi. Effort being made for evacuation. Please drive carefully.
2020-01-15 11:57:10,followlastma,followlastma,0,0,0,,,,1217415423559438336,https://twitter.com/followlastma/status/1217415423559438336,Now off the road. 
